invoice_id,invoice_date,customer_id
1,5/16/2017,12
2,7/22/2016,43
3,8/23/2017,60
4,12/30/2016,76
5,12/15/2017,4
6,12/11/2016,46
7,2/8/2017,39
8,4/15/2018,95
9,6/17/2016,84
10,6/3/2017,88
11,1/29/2016,93
12,12/20/2016,71
13,9/19/2016,75
14,12/8/2016,23
15,7/5/2016,85
16,9/25/2017,15
17,9/25/2016,31
18,7/18/2016,92
19,6/13/2017,26
20,6/9/2018,1
21,5/1/2018,96
22,3/16/2017,77
23,8/1/2017,9
24,2/2/2016,37
25,12/1/2017,17
26,9/18/2016,87
27,7/19/2016,68
28,8/14/2016,26
29,10/30/2017,93
30,5/11/2017,64
31,1/30/2016,8
32,9/1/2017,23
33,3/22/2016,33
34,3/14/2017,80
35,1/17/2016,39
36,5/22/2018,92
37,10/25/2016,30
38,5/14/2017,27
39,2/25/2018,21
40,2/20/2018,5
41,4/26/2016,51
42,10/8/2016,4
43,11/5/2017,97
44,8/23/2017,46
45,9/14/2017,84
46,10/11/2017,23
47,2/24/2017,69
48,3/25/2017,62
49,2/13/2018,67
50,1/31/2017,2
51,5/15/2016,93
52,7/1/2018,3
53,3/19/2018,85
54,8/4/2017,98
55,4/17/2016,41
56,9/26/2016,14
57,6/4/2016,67
58,1/15/2016,2
59,6/2/2018,3
60,5/28/2017,18
61,2/18/2017,44
62,5/27/2016,95
63,8/28/2017,40
64,1/5/2017,91
65,5/28/2018,57
66,4/5/2016,13
67,10/16/2017,1
68,11/4/2016,29
69,6/17/2016,70
70,11/19/2017,42
71,3/12/2018,19
72,7/23/2016,81
73,3/8/2016,38
74,12/12/2017,42
75,8/17/2016,29
76,5/31/2018,73
77,5/1/2018,58
78,6/23/2018,32
79,5/3/2017,92
80,2/5/2017,43
81,1/9/2018,59
82,6/17/2018,39
83,1/27/2016,90
84,9/10/2016,87
85,2/20/2016,21
86,12/29/2017,84
87,7/27/2016,74
88,1/30/2018,15
89,11/17/2016,42
90,2/2/2017,48
91,11/9/2017,52
92,7/30/2017,13
93,4/12/2018,5
94,6/23/2016,17
95,12/13/2017,64
96,1/28/2018,55
97,7/7/2016,40
98,7/23/2017,65
99,7/12/2017,1
100,1/19/2018,87
101,4/29/2017,17
102,11/12/2017,64
103,10/4/2017,75
104,6/5/2017,13
105,7/3/2017,47
106,1/15/2017,36
107,9/11/2016,15
108,3/26/2016,47
109,1/24/2017,81
110,12/8/2017,100
111,10/15/2016,72
112,9/23/2017,88
113,8/27/2017,50
114,6/5/2016,90
115,11/20/2016,48
116,3/30/2016,69
117,11/12/2017,21
118,11/12/2016,95
119,5/21/2018,22
120,12/27/2016,26
121,9/25/2016,76
122,8/30/2017,80
123,1/23/2018,79
124,5/27/2017,48
125,1/24/2017,83
126,10/22/2016,41
127,5/2/2016,33
128,12/22/2017,54
129,3/11/2017,62
130,6/30/2017,8
131,8/3/2016,58
132,10/7/2017,46
133,11/16/2017,85
134,6/26/2017,41
135,8/24/2017,69
136,7/29/2017,95
137,10/29/2016,28
138,4/15/2018,5
139,6/3/2016,18
140,10/8/2016,53
141,6/19/2018,3
142,2/14/2016,27
143,12/19/2016,60
144,5/28/2016,49
145,11/7/2016,88
146,3/21/2016,3
147,5/28/2018,84
148,7/1/2017,62
149,3/15/2016,48
150,10/21/2016,50
151,2/12/2016,72
152,5/31/2016,9
153,12/10/2016,35
154,5/4/2018,37
155,3/26/2017,10
156,9/2/2017,38
157,5/18/2018,48
158,2/2/2016,60
159,8/26/2016,4
160,1/11/2018,2
161,12/17/2016,88
162,3/20/2016,76
163,2/1/2018,15
164,9/4/2016,8
165,11/21/2016,23
166,2/7/2016,1
167,4/18/2016,79
168,1/7/2016,50
169,11/25/2017,18
170,3/15/2018,57
171,11/20/2017,29
172,6/25/2017,45
173,11/23/2017,1
174,3/26/2016,10
175,4/13/2018,81
176,9/5/2017,80
177,2/14/2018,69
178,8/21/2016,9
179,4/16/2018,99
180,2/26/2017,61
181,3/21/2018,83
182,3/24/2017,6
183,7/24/2016,17
184,3/4/2016,19
185,2/23/2018,100
186,10/6/2016,85
187,4/5/2016,22
188,1/16/2016,37
189,1/20/2018,62
190,12/3/2016,20
191,3/20/2017,81
192,1/22/2017,66
193,2/9/2016,39
194,6/29/2016,43
195,1/17/2018,98
196,2/11/2017,67
197,3/11/2016,54
198,4/1/2018,98
199,1/23/2017,10
200,10/30/2016,6
201,5/26/2017,80
202,5/3/2018,65
203,6/7/2018,62
204,4/25/2017,12
205,4/29/2018,43
206,1/8/2016,24
207,8/10/2016,15
208,4/29/2016,48
209,3/1/2018,53
210,3/21/2018,45
211,3/8/2018,83
212,2/12/2016,23
213,6/13/2016,99
